source_table,source_column,exists,non_null_count,coverage_pct,join_key,trust_level,reason
shadow_decision_trace,intended_notional_usd,yes,0,0.0,trace_id / position_id / pool_id,unusable,mostly null in current 7d sample
shadow_decision_trace,intended_size_usd,no,0,0.0,trace_id / position_id / pool_id,unusable,column not present in live schema
shadow_decision_trace,notional_usd,no,0,0.0,trace_id / position_id / pool_id,unusable,column not present in live schema
shadow_decision_trace,max_order_usd,no,0,0.0,trace_id / position_id / pool_id,unusable,column not present in live schema
shadow_decision_trace,order_usd,no,0,0.0,trace_id / position_id / pool_id,unusable,column not present in live schema
shadow_decision_trace,amount_usd,no,0,0.0,trace_id / position_id / pool_id,unusable,column not present in live schema
shadow_decision_trace,score_json,yes,36142,100.0,trace_id / position_id / pool_id,diagnostic_only,JSON payload can support audit only; not a direct entry notional
positions,amount_usd,yes,56,100.0,position_id,medium,"joinable position notional, requires clean position_id and timing alignment"
positions,entry_value_usd,no,0,0.0,position_id,unusable,column absent from live positions schema
positions,notional_usd,no,0,0.0,position_id,unusable,column absent from live positions schema
positions,opened_at,yes,56,100.0,position_id,diagnostic_only,"timing support for clean join, not notional itself"
shadow_position_marks,amount_usd,yes,44011,100.0,position_id + mark_time,medium,same-position mark amount can approximate entry notional if near entry and not stale
shadow_position_marks,valuation_usd,yes,44009,99.9955,position_id + mark_time,diagnostic_only,absolute valuation without trustworthy entry notional cannot form valid entry
shadow_position_marks,source,yes,44011,100.0,position_id + mark_time,diagnostic_only,mark provenance only
shadow_position_lifecycle_proof_v2,entry_value_usd,yes,408,100.0,position_id + horizon,diagnostic_only,"useful reference but downstream derived table, not independent entry source"
shadow_intent_lifecycle_research_v1,entry_value_usd,yes,3576,100.0,dedup_key + horizon,diagnostic_only,prior research output only; cannot self-validate v2
