stage,pool_count,chain_count,protocol_count,main_chains,main_protocols,label,notes
raw_discovered,94,3,13,"base,solana,unknown","Aerodrome Slipstream,PancakeSwap V3,Sushi,Uniswap V2,Uniswap V3,alien-base,hydrex-integral,pancakeswap,pancakeswap-infinity-clmm-base,quickswap,uniswap,uniswap-v4-base,unknown",raw_discovered,来自任一阶段源的原始池
tierb_discovery,85,2,12,"base,unknown","Aerodrome Slipstream,PancakeSwap V3,Sushi,Uniswap V2,Uniswap V3,alien-base,hydrex-integral,pancakeswap,pancakeswap-infinity-clmm-base,quickswap,uniswap,uniswap-v4-base",tierb_discovery,Tier B discovery 产物
tierc,15,2,6,"base,unknown","Aerodrome Slipstream,PancakeSwap V3,Uniswap V3,hydrex-integral,uniswap-v4-base,unknown",tierc,Tier C 批次历史
scale_economics,6,1,3,base,"Aerodrome Slipstream,PancakeSwap V3,Uniswap V3",scale_economics,scale 阶段候选
quote_depth_v2,25,2,5,"base,solana","Aerodrome Slipstream,PancakeSwap V3,Uniswap V3,hydrex-integral,uniswap-v4-base",quote_depth_v2,quote/depth v2
precise_quote,20,1,3,base,"Aerodrome Slipstream,PancakeSwap V3,Uniswap V3",precise_quote,precise quote
v3_tick_liquidity,5,1,2,base,"PancakeSwap V3,Uniswap V3",v3_tick_liquidity,v3 tick liquidity
real_cost_model,5,1,2,base,"PancakeSwap V3,Uniswap V3",real_cost_model,real cost model
real_fee_accrual,5,1,2,base,"PancakeSwap V3,Uniswap V3",real_fee_accrual,real fee accrual
pool_level_positive_proxy,0,0,0,,,pool_level_positive,pool-level proxy positive
actual_fee_ready,0,0,0,,,actual_fee_ready,actual fee lineage ready
