strategy_line,latest_stage,latest_report_path,status,core_reason,key_metrics,can_continue_same_line,canary_allowed,required_condition_to_reopen
current_full_strategy,portfolio_freeze,/Users/bendu/lp-bot/v3/reports/portfolio_status/20260529_160811/FINAL_VERDICT.json,FAIL,position_lifecycle primary proof 下 tail 不可接受,"current_full_strategy=FAIL, tiny_canary_allowed=no",no,no,new proof unit or new data/strategy assumption
fixed_horizon_position_lifecycle,FIXED_HORIZON_PROOF_POLICY_FREEZE_AND_OOS_ACCUMULATION_PLAN_V1,/Users/bendu/lp-bot/v3/reports/fixed_horizon_policy/20260530_145208/FINAL_VERDICT.json,STOP,"12h fail, 24h insufficient, position reuse dominant",recommended_next_stage=FIXED_HORIZON_CONTINUE_OOS_ACCUMULATION,no,no,new sample source not blocked by reuse
intent_lifecycle,INTENT_LIFECYCLE_DEDUP_POLICY_FIX_V1,/Users/bendu/lp-bot/v3/reports/intent_lifecycle_dedup/20260531_061138/FINAL_VERDICT.json,STOP,DQ 修正后无 stable review-ready signal,signal_status=insufficient,no,no,new intent proof design + better entry notional lineage
Tier B discovery/data-fix,TIER_B_TARGETED_DATA_FIX_V3,/Users/bendu/lp-bot/v3/reports/tierb_data_fix/20260530_125453/FINAL_VERDICT.json,PAUSE,no research candidate with enough data quality,recommended_next_stage=FIXED_HORIZON_DB_OR_SCHEMA_FIX,no,no,stronger data source and new candidate set
Tier C batch,TIER_C_BATCH_FINAL_FREEZE_AND_REDISCOVERY_POLICY_V1,/Users/bendu/lp-bot/v3/reports/tierc_shadow/20260529_155854/TIER_C_BATCH_FINAL_FREEZE_VERDICT.json,REJECTED,"holder/trader concentration extreme, batch frozen","batch_status=REJECTED, reject_locked_count=14",no,no,new market change and rediscovery only
Risk-Aware Short-Hold exit,RISK_SIGNAL_DEFINITION_FIX_V1,/Users/bendu/lp-bot/v3/reports/risk_signal_definition_fix/20260531_080614/FINAL_VERDICT.json,STOP,"risk_exit not helpful, quarantine only helpful",risk_exit_helpful_after_fix=False,no,no,new risk signal family with practical retention
Pool Regime Classifier,POOL_REGIME_CLASSIFIER_V1,/Users/bendu/lp-bot/v3/reports/pool_regime_classifier/20260531_092109/FINAL_VERDICT.json,PAUSE,有尾部解释力，但只能做过滤解释，不足以独立成策略,review_ready=True,no,no,serve as feature only under new strategy frame
Pool Regime Aware Short-Hold,POOL_REGIME_AWARE_SHORT_HOLD_REVIEW_V2,/Users/bendu/lp-bot/v3/reports/pool_regime_aware_review/20260531_110005/FINAL_VERDICT.json,STOP,leakage fixed 后 retention 太低，误杀太高,"review_v2_status=FAIL, recommended_next_stage=FEE_VELOCITY_EXIT_DEPTH_COUNTERFACTUAL_V1",no,no,new practical gate pass with non-overfiltering behavior
Fee Velocity / Exit Depth,FEE_VELOCITY_RULE_FIX_V1,/Users/bendu/lp-bot/v3/reports/fee_velocity_rule_fix/20260531_122413/FINAL_VERDICT.json,STOP,"no practical variant passed, fee-cost still negative or retention too low","tested_rule_fix_variant_count=16, practical_gate_pass=False",no,no,new fee/depth data pipeline and strategy redesign
Overall LP research line,final_freeze,/Users/bendu/lp-bot/v3/reports/final_freeze/20260531_124000/FINAL_VERDICT.json,STOP,P0/P1/P2 全部未形成可实用研究候选,"portfolio_next=FIXED_HORIZON_FRESH_OOS_ACCUMULATION, p2_next=STOP_RESEARCH",no,no,new data source first or full hypothesis redesign
