id,category,root_cause_group,nodeid_or_path,severity,evidence_location,tool_version,pre_post_result,dependency_path_under_target_mode,disposition,required_approval
B001..B059,PYTEST_BIZ,shadow_runner_persistence_missing,tests/test_lp_rh_shadow_runner_v1_readonly.py (39 failures),BLOCKER,reports/shadow_paper_convergence_20260914/raw/pytest_full_failed_nodeids.txt (rows 1..39 shadow_runner),pytest 8.x / Python 3.12 / SHA fd0ffa6,FAIL: assert 0==1 rh_position_marks; missing rh_journal rows; reservation not released; fee journal missing,Direct: Runner writes rh_position_marks / rh_journal / rh_bucket_reservations in CORE forward,CORE_RUNNER_BUG_MUST_FIX,engineering
B040..B052,PYTEST_BIZ,reconciliation_verdict_misclassified,tests/test_lp_rh_reconciliation_v1_readonly.py (13 failures),BLOCKER,reports/shadow_paper_convergence_20260914/raw/reconciliation_failures.txt + pytest_full_failed_nodeids.txt,pytest 8.x,FAIL: actual INSUFFICIENT_EVIDENCE vs expected PASS / UNEXPLAINED_DIFF; KeyError quote,Direct: reconciliation emits verdict into read-back path,CORE_RECON_BUG_MUST_FIX,engineering
B053..B058,PYTEST_BIZ,first_step_accrual_nav_formula,tests/test_lp_rh_first_step_accrual_v1_readonly.py (6 failures),BLOCKER,ACCEPTANCE_EVIDENCE.json::first_step_accrual_root_cause_samples,pytest 8.x,FAIL: NAV_start source wrong; net_pnl formula,Direct: NAV/NetCover/FullCost wiring in CORE forward,CORE_NAV_BUG_MUST_FIX,engineering
B059,PYTEST_BIZ,graduation_verdict_contains_blocker,tests/test_lp_rh_graduation_evidence_v1_readonly.py::test_stage_a_not_passed_verdict_is_not_graduated_and_contains_blocker,BLOCKER,pytest_full_failed_nodeids.txt,pytest 8.x,FAIL: verdict classifier,Direct: graduation verdict before Paper,CORE_GRAD_BUG_MUST_FIX,engineering
G001,GATE_AGG,g1_all_pytest_pass_aggregates_B001_B059,scripts/lp_rh_paper_readiness_v1.py::compute_paper_readiness::g1_all_pytest_pass,BLOCKER,raw/g1_evidence.txt + raw/all_gates.txt,Python 3.12 / pytest 8.x,FAIL: tests=5209 failures=59 errors=0 skipped=14 exit_code=1,Direct gate,AGGREGATE_OF_B001_B059,engineering - depends on B-series fix
G002,GATE_AGG,g3_entry_integration_subset_aggregates_subset_of_B_series,scripts/lp_rh_paper_readiness_v1.py::g3_entry_integration_tests_pass,BLOCKER,ACCEPTANCE_EVIDENCE.json::pytest_entrypoint_subset_local,pytest 8.x,FAIL: deselected=4840 selected=369 passed=355 failed=14,Direct gate: superset of B040..B052 + B059,AGGREGATE_OF_SUBSET_B040_B052_B059,engineering
G003,GATE_OBS,g11_two_providers_usable_db_path_required,scripts/lp_rh_paper_readiness_v1.py::g11_two_providers_usable,ADVISORY_DB,raw/all_gates.txt,Python 3.12,FAIL: DB_PATH_NOT_SET,Indirect: DB env not exported in offline run; gate is advisory,DB_PATH_REQUIRED_FOR_GATE,engineering - set LPBOT_RH_DB_PATH
G004,GATE_OBS,g14_keys_created_zero_unobserved,scripts/lp_rh_paper_readiness_v1.py::g14_keys_created_zero,OBSERVED_UNOBSERVED,raw/all_gates.txt,N/A,FAIL: OBSERVED:UNOBSERVED (no daemon run),Indirect: OBSERVE_ONLY would produce counter readout,EXPECTED_ZERO_NO_DAEMON_RUN,no_approval
G005,GATE_OBS,g15_signatures_zero_unobserved,scripts/lp_rh_paper_readiness_v1.py::g15_signatures_zero,OBSERVED_UNOBSERVED,raw/all_gates.txt,N/A,FAIL: OBSERVED:UNOBSERVED,Indirect,EXPECTED_ZERO_NO_DAEMON_RUN,no_approval
G006,GATE_OBS,g16_broadcasts_zero_unobserved,scripts/lp_rh_paper_readiness_v1.py::g16_broadcasts_zero,OBSERVED_UNOBSERVED,raw/all_gates.txt,N/A,FAIL: OBSERVED:UNOBSERVED,Indirect,EXPECTED_ZERO_NO_DAEMON_RUN,no_approval
