index,chain,protocol,pool_type,token_pair,fee_tier,pool_id,inferred_tier,first_seen_stage,latest_seen_stage,reached_precise_quote,reached_v3_tick_liquidity,reached_real_cost_model,reached_real_fee_accrual,positive_proxy_pool_level,actual_fee_ready,final_status,notes
1,base,Aerodrome Slipstream,concentrated_liquidity,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,unknown,0x659be70647b0f63217d60e077f4417b1ecc65064,C,quote_depth_v2,tierc_batch,yes,no,no,no,no,no,rejected,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tierc_batch_final_freeze.csv
2,base,Aerodrome Slipstream,unknown,0x8C0D3ADCF8CE094E1AE437557EC90A6374DC9BDD/0x4200000000000000000000000000000000000006,unknown,0xe2444faa67022125a059c19d5737d8e4dad251fa,C,quote_depth_v2,quote_depth_v2,no,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv
3,base,Aerodrome Slipstream,concentrated_liquidity,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,unknown,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,C,quote_depth_v2,tierc_batch,yes,no,no,no,no,no,rejected,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tierc_batch_final_freeze.csv
4,base,Aerodrome Slipstream,concentrated_liquidity,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,unknown,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,C,quote_depth_v2,precise_quote,yes,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv
5,base,Aerodrome Slipstream,concentrated_liquidity,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,unknown,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,B,quote_depth_v2,precise_quote,yes,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv
6,base,Aerodrome Slipstream,concentrated_liquidity,CTR / USDC 0.015%,0.015%,0x0ab02e160f0df68dc049b012c514857306960eae,B,quote_depth_v2,tierb_data_fix,yes,no,no,no,no,no,watch,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tier_b_targeted_pool_set.csv
7,base,Aerodrome Slipstream,concentrated_liquidity,PROS / USDC 0.01%,0.01%,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,B,quote_depth_v2,tierb_data_fix,yes,no,no,no,no,no,watch,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tier_b_targeted_pool_set.csv
8,base,Aerodrome Slipstream,concentrated_liquidity,VIRTUAL / WETH 0.05%,0.05%,0x3f0296bf652e19bca772ec3df08b32732f93014a,B,quote_depth_v2,tierb_discovery,yes,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv
9,base,Aerodrome Slipstream,concentrated_liquidity,WETH / USDC 0.05%,0.05%,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,A,scale_economics,tierb_discovery,yes,no,no,no,no,no,analyzed,lp_scale_candidate_pool_audit.csv;lp_scale_candidate_pool_audit.csv;lp_data_pipeline_feasibility_probe.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv
10,base,Aerodrome Slipstream,concentrated_liquidity,cbBTC / USDC 0.05%,0.05%,0x160d7e9d948b16c163332a277b393c288408eb12,B,quote_depth_v2,tierb_discovery,yes,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv
11,base,Aerodrome Slipstream,concentrated_liquidity,cbBTC / USDC 0.05%,0.05%,0x4e962bb3889bf030368f56810a9c96b83cb3e778,B,scale_economics,tierb_data_fix,yes,no,no,no,no,no,watch,lp_scale_candidate_pool_audit.csv;lp_scale_candidate_pool_audit.csv;lp_data_pipeline_feasibility_probe.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tier_b_targeted_pool_set.csv
12,base,Aerodrome Slipstream,concentrated_liquidity,cbBTC / WETH 0.05%,0.05%,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,B,quote_depth_v2,tierb_discovery,yes,no,no,no,no,no,analyzed,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv
13,base,Aerodrome Slipstream,concentrated_liquidity,cbBTC / WETH 0.05%,0.05%,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,B,scale_economics,tierb_discovery,yes,no,no,no,no,no,analyzed,lp_scale_candidate_pool_audit.csv;lp_scale_candidate_pool_audit.csv;lp_data_pipeline_feasibility_probe.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv
14,base,PancakeSwap V3,concentrated_liquidity,PLAY / USDC 0.01%,0.01%,0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,C,quote_depth_v2,tierb_data_fix,yes,no,no,no,no,no,watch,quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;tier_b_expanded_discovery_candidates.csv;tier_b_targeted_pool_set.csv
15,base,PancakeSwap V3,concentrated_liquidity,WETH / USDC 0.01%,0.01%,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,B,scale_economics,tierb_data_fix,yes,yes,yes,yes,no,no,watch,lp_scale_candidate_pool_audit.csv;lp_scale_candidate_pool_audit.csv;lp_data_pipeline_feasibility_probe.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;quote_depth_curve_v2_results.csv;expanded_quote_depth_candidate_pools.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;precise_quote_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;v3_tick_liquidity_v2_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_model_results.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_cost_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;real_fee_lineage_economics_preview.csv;tier_b_expanded_discovery_candidates.csv;tier_b_targeted_pool_set.csv
