data_item,table_name,column_name,exists,row_count,non_null_count,recent_7d_count,timestamp_column,entry_safe_possible,confidence,blocker
pool_catalog,pools,pool_id,yes,151,151,91,updated_at,yes,high,
pool_liquidity,pools,liquidity,yes,151,151,91,updated_at,yes,medium,text field needs parser
pool_tvl,pools,tvl_usd,yes,151,151,91,updated_at,yes,medium,text field
pool_volume_24h,pools,vol_24h,yes,151,151,91,updated_at,yes,medium,24h roll only
pool_fee_apr_24h,pools,fee_apr_24h,yes,151,151,91,updated_at,yes,medium,24h roll only
pool_fee_bps,pools,fee_bps,yes,151,151,91,updated_at,yes,high,
mark_price_snapshot,shadow_position_marks,valuation_usd,yes,64364,64364,39348,mark_time,yes,high,
mark_fee_proxy,shadow_position_marks,fee_usd,yes,64364,64364,39348,mark_time,yes,medium,position-level not realized LP accrual
mark_il_proxy,shadow_position_marks,il_usd,yes,64364,64364,39348,mark_time,yes,medium,proxy only
mark_tvl_snapshot,shadow_position_marks,current_tvl_usd,yes,64364,64364,39348,mark_time,yes,high,
mark_volume_snapshot,shadow_position_marks,current_vol24h_usd,yes,64364,64364,39348,mark_time,yes,high,
mark_price_change,shadow_position_marks,price_change_pct,yes,64364,64364,39348,mark_time,yes,medium,
position_amount,positions,amount_usd,yes,75,75,37,opened_at,unknown,medium,
decision_intended_notional,shadow_decision_trace,intended_notional_usd,yes,450872,450872,279137,tick_time,yes,low,historically sparse
entry_safe_classifier,pool_regime_classifier_entry_safe_v1,risk_score,yes,11920,11920,8952,sample_start_time,yes,high,
entry_safe_feature_cutoff,pool_regime_classifier_entry_safe_v1,classifier_feature_cutoff_time,yes,11920,11920,8952,sample_start_time,yes,high,
fee_velocity_proxy,fee_velocity_exit_depth_counterfactual_v1,fee_velocity_proxy,yes,572160,558336,429696,sample_start_time,yes,high,
exit_depth_proxy,fee_velocity_exit_depth_counterfactual_v1,exit_depth_usd,yes,572160,558336,429696,sample_start_time,yes,medium,20/50 only from existing run
slippage_proxy,fee_velocity_exit_depth_counterfactual_v1,slippage_pct,yes,572160,558336,429696,sample_start_time,yes,medium,20/50 only from existing run
fee_proxy_daily_usd,fee_velocity_exit_depth_counterfactual_v1,fee_proxy_daily_usd,yes,572160,558336,429696,sample_start_time,yes,medium,proxy only
holder_concentration,tierc_holder_concentration_v1,top10_holder_pct,yes,30,1,30,created_at,unknown,medium,not full universe
trader_concentration,tierc_market_quality_enrichment_v1,unique_traders_24h,yes,15,0,15,created_at,unknown,medium,not full universe
tierc_exit_depth_estimate,tierc_exit_depth_estimates_v1,exit_depth_usd,yes,15,14,15,created_at,unknown,medium,small-cap research only
